address,lat,lon,display_name,status
209-211 HACKENSACK PLANK RD,,,,not_found
21 CAMBRIDGE WAY,40.7683891,-74.0166158,"Cambridge Way, Henley On Hudson, Weehawken, Hudson County, New Jersey, 07086, United States",ok
22 50TH ST,40.7793917,-74.0127,"22, 50th Street, Weehawken, Hudson County, New Jersey, 07086, United States",ok
22 CAMBRIDGE WAY,40.7683891,-74.0166158,"Cambridge Way, Henley On Hudson, Weehawken, Hudson County, New Jersey, 07086, United States",ok
221 JANE ST,40.7673176,-74.0278916,"221, Jane Street, Weehawken, Hudson County, New Jersey, 07086, United States",ok
227 DODD ST,40.7667342,-74.0283611,"227, Dodd Street, Lincoln Harbor, Weehawken, Hudson County, New Jersey, 07086, United States",ok
23 CAMBRIDGE WAY,40.7683891,-74.0166158,"Cambridge Way, Henley On Hudson, Weehawken, Hudson County, New Jersey, 07086, United States",ok
24 CAMBRIDGE WAY,40.7683891,-74.0166158,"Cambridge Way, Henley On Hudson, Weehawken, Hudson County, New Jersey, 07086, United States",ok
24 ETON ROW,40.7674881,-74.0171798,"Eton Row, Henley On Hudson, Weehawken, Hudson County, New Jersey, 07086, United States",ok
24 OXFORD LANDING,40.7685625,-74.01614,"Oxford Landing, Henley On Hudson, Weehawken, Hudson County, New Jersey, 07086, United States",ok
25 CAMBRIDGE WAY,40.7683891,-74.0166158,"Cambridge Way, Henley On Hudson, Weehawken, Hudson County, New Jersey, 07086, United States",ok
250 HENLEY PL,40.7677321,-74.0166051,"250, Henley Place, Henley On Hudson, Weehawken, Hudson County, New Jersey, 07086, United States",ok
26 CAMBRIDGE WAY,40.7683891,-74.0166158,"Cambridge Way, Henley On Hudson, Weehawken, Hudson County, New Jersey, 07086, United States",ok
2600 PALISADE AVE,40.767918,-74.028918,"2600, Palisade Avenue, Lincoln Harbor, Weehawken, Hudson County, New Jersey, 07086, United States",ok
2614 PALISADE AVE,40.7679747,-74.0288823,"2614, Palisade Avenue, Lincoln Harbor, Weehawken, Hudson County, New Jersey, 07086, United States",ok
2716 PALISADE AVE,40.7688126,-74.0283525,"2716, Palisade Avenue, Lincoln Harbor, Weehawken, Hudson County, New Jersey, 07086, United States",ok
29-33 51ST ST,40.7802355,-74.0128642,"51st Street, West New York, Hudson County, New Jersey, 07087, United States",ok
3 BONN PL,40.7709772,-74.0186396,"3, Bonn Place, Weehawken, Hudson County, New Jersey, 07086, United States",ok
3 OXFORD LANDING,40.7684497,-74.0160933,"3, Oxford Landing, Henley On Hudson, Weehawken, Hudson County, New Jersey, 07086, United States",ok
31 ETON ROW,40.7675314,-74.01756,"31, Eton Row, Henley On Hudson, Weehawken, Hudson County, New Jersey, 07086, United States",ok
32 ETON ROW,40.7674881,-74.0171798,"Eton Row, Henley On Hudson, Weehawken, Hudson County, New Jersey, 07086, United States",ok
32 OXFORD LANDING,40.7685625,-74.01614,"Oxford Landing, Henley On Hudson, Weehawken, Hudson County, New Jersey, 07086, United States",ok
33 CAMBRIDGE WAY,40.7683891,-74.0166158,"Cambridge Way, Henley On Hudson, Weehawken, Hudson County, New Jersey, 07086, United States",ok
33 HACKENSACK PLANK RD,,,,not_found
33 OXFORD LANDING,40.7684744,-74.0161579,"33, Oxford Landing, Henley On Hudson, Weehawken, Hudson County, New Jersey, 07086, United States",ok
34 48TH ST,40.7781571,-74.0144842,"34, 48th Street, Weehawken, Hudson County, New Jersey, 07086, United States",ok
34-40 48TH ST,40.7783963,-74.0147523,"48th Street, Weehawken, Hudson County, New Jersey, 07087, United States",ok
35 CAMBRIDGE WAY,40.7683891,-74.0166158,"Cambridge Way, Henley On Hudson, Weehawken, Hudson County, New Jersey, 07086, United States",ok
35-39 51ST ST,40.7802355,-74.0128642,"51st Street, West New York, Hudson County, New Jersey, 07087, United States",ok
36 REGENCY PL,40.7702227,-74.015224,"36, Regency Place, The Brownstones, Weehawken, Hudson County, New Jersey, 07086, United States",ok
3718 PARK AVE,40.7722646,-74.0216969,"3718, Park Avenue, Weehawken, Hudson County, New Jersey, 07086, United States",ok
