"Picture Count","MLS #","Class","Type","Area","Price","Address","City","State","Zip","Status","Expiration Date","Tour/Open House - Start Date","Tour/Open House - Start Time","Tour/Open House - End Time","Tour/Open House - Event Type"
"40","260005335","CONDO-COOP","Condominium","JC, Heights","$889,000","545 PALISADE AVE","JC, Heights","NJ","07307","ACTIVE","9/26/2026","4/12/2026","11:00 AM EDT","2:00 PM EDT","Open House"
"22","260004901","CONDO-COOP","Condominium","JC, Heights","$890,000","104 POPLAR ST","JC, Heights","NJ","07307","ACTIVE","7/13/2027","4/11/2026","1:00 PM EDT","3:00 PM EDT","Open House"
"22","260004901","CONDO-COOP","Condominium","JC, Heights","$890,000","104 POPLAR ST","JC, Heights","NJ","07307","ACTIVE","7/13/2027","4/12/2026","1:00 PM EDT","3:00 PM EDT","Open House"
"31","260003159","CONDO-COOP","Condominium","JC, Heights","$899,000","160 CENTRAL AVE","JC, Heights","NJ","07307","ACTIVE","7/24/2026","4/12/2026","12:00 PM EDT","2:00 PM EDT","Open House"
"26","260005736","CONDO-COOP","Condominium","JC, Heights","$899,000","42 GRACE ST","JC, Heights","NJ","07307","ACTIVE","9/30/2026","4/11/2026","12:00 PM EDT","2:00 PM EDT","Open House"
"38","260003613","CONDO-COOP","Condominium","JC, Heights","$899,000","974 SUMMIT AVE","JC, Heights","NJ","07307","ACTIVE","8/31/2026","4/11/2026","11:00 AM EDT","2:00 PM EDT","Open House"
"38","260003613","CONDO-COOP","Condominium","JC, Heights","$899,000","974 SUMMIT AVE","JC, Heights","NJ","07307","ACTIVE","8/31/2026","4/11/2026","11:00 AM EDT","2:00 PM EDT","Open House"
"23","260006388","CONDO-COOP","Condominium","Hoboken","$899,900","1034 CLINTON ST","Hoboken","NJ","07030","ACTIVE","10/9/2026","4/12/2026","12:00 PM EDT","2:00 PM EDT","Open House"
"23","260006388","CONDO-COOP","Condominium","Hoboken","$899,900","1034 CLINTON ST","Hoboken","NJ","07030","ACTIVE","10/9/2026","4/11/2026","12:00 PM EDT","2:00 PM EDT","Open House"
"28","260005088","CONDO-COOP","Condominium","JC, Heights","$925,000","183 ZABRISKIE ST","JC, Heights","NJ","07307-1111","ACTIVE","6/23/2026","4/11/2026","2:45 PM EDT","4:00 PM EDT","Open House"
"20","260003114","CONDO-COOP","Condominium","JC, Heights","$925,000","105 LAIDLAW AVE","JC, Heights","NJ","07306","ACTIVE","5/31/2026","4/12/2026","11:00 AM EDT","2:00 PM EDT","Open House"
"23","260005661","CONDO-COOP","Condominium","JC, Heights","$925,000","134 HANCOCK AVE","JC, Heights","NJ","07307","ACTIVE","6/30/2026","4/11/2026","12:00 PM EDT","2:00 PM EDT","Open House"
"19","260005662","CONDO-COOP","Condominium","JC, Heights","$925,000","134 HANCOCK AVE","JC, Heights","NJ","07307","ACTIVE","6/30/2026","4/11/2026","12:00 PM EDT","2:00 PM EDT","Open House"
"49","260005337","CONDO-COOP","Condominium","JC, Heights","$939,000","545 PALISADE AVE","JC, Heights","NJ","07307","ACTIVE","9/26/2026","4/12/2026","11:00 AM EDT","2:00 PM EDT","Open House"
